-0.692518 0.56047 1.027;187.144;19 21;0
-0.677118 0.567116 1.011;164.151;21 16;1
-0.750466 0.584428 1.07;62.0774;11 22;2
-0.759873 0.598814 1.046;51.5393;5 15;3
-0.736569 0.599388 1.026;31.9485;8 11;4
-0.709654 0.592317 1.013;19.438;13 10;5
-0.708016 0.596328 1.015;61.1161;14 9;6
-0.700987 0.567189 1.011;29.2205;14 17;7
-0.70326 0.566116 1.015;6.96651;14 18;8
-0.732745 0.601667 1.025;1.46702;9 10;9
-0.679867 0.589325 1.016;73.3295;22 10;10
-0.67964 0.56104 1.011;35.6229;20 18;11
-0.678001 0.556292 1.015;11.8093;21 20;12
-inf -inf -inf;2.12997;16 1;13
-0.660968 0.590649 1.024;76.2296;29 10;14
-0.660476 0.55522 1.031;24.3321;29 22;15
-0.693431 0.613644 1.021;5.53984;20 4;16
-0.693683 0.6224 1.025;3.28733;21 2;17
-0.647373 0.588898 1.024;28.7579;33 10;18
-0.719868 0.595062 1.132;18.9133;30 26;19
-0.730274 0.595739 1.131;6.74063;27 26;20
0 0 0;0;0 0;0
