-0.688921 0.560472 1.021;187.805;19 20;0
-0.675109 0.565433 1.008;169.872;21 16;1
-0.74604 0.583367 1.069;61.7577;12 22;2
-0.757415 0.596788 1.158;28.6406;24 30;3
-0.752929 0.591862 1.164;14.0859;26 32;4
-0.706064 0.591761 1.013;19.3624;14 10;5
-0.707318 0.59574 1.014;60.1983;14 9;6
-0.695402 0.565009 1.008;28.6589;15 17;7
-0.699738 0.565623 1.015;6.98886;15 18;8
-0.730961 0.608601 1.026;1.78016;10 8;9
-0.676882 0.592172 1.016;74.4575;23 9;10
-0.672795 0.560146 1.011;36.0789;22 18;11
-0.675249 0.556406 1.016;11.4715;22 20;12
-0.726559 0.638657 1.04;2.00588;15 1;13
-0.65691 0.589625 1.023;74.2472;30 10;14
-0.650219 0.554788 1.019;20.1759;30 20;15
-0.686489 0.610091 1.016;5.31586;21 4;16
-0.69195 0.615271 1.018;3.64126;20 3;17
-0.645476 0.587173 1.021;29.4356;33 10;18
-0.643041 0.55317 1.024;16.2705;33 21;19
-0.717474 0.613636 1.02;2.42037;13 5;20
0 0 0;0;0 0;0
