-0.7663 0.476764 1.197;260.516;25 69;0
-0.776529 0.572482 1.188;940.15;23 41;1
-0.808513 0.552536 1.175;174.685;12 46;2
-0.856332 0.607457 1.189;182.964;4 34;3
-0.86663 0.639783 1.191;33.1333;3 26;4
-0.760481 0.444006 1.203;1.97636;27 79;5
-0.826129 0.658184 1.194;104.394;14 20;6
-0.833113 0.685058 1.192;58.6627;13 13;7
-0.825862 0.699004 1.183;29.7219;14 8;8
-0.822262 0.712525 1.18;19.7454;15 4;9
-0.794879 0.654982 1.196;115.657;22 20;10
-0.797732 0.688077 1.193;63.9243;22 11;11
-0.784509 0.69946 1.181;48.5663;24 6;12
-0.784226 0.716144 1.176;22.4513;24 1;13
-0.762139 0.644046 1.189;111.92;29 21;14
-0.751685 0.667653 1.179;55.7198;31 13;15
-0.746446 0.682664 1.173;48.8504;32 8;16
-0.755584 0.70477 1.177;22.821;31 3;17
-0.733284 0.619896 1.183;71.5321;35 26;18
-0.72601 0.64262 1.179;50.0381;37 19;19
-0.715818 0.652675 1.172;30.7138;39 15;20
-0.715078 0.665211 1.168;21.2851;39 11;21
