-0.681661 0.554026 1.016;162.543;20 21;0
-0.67557 0.5687 1.008;145.203;21 15;1
-0.750466 0.584428 1.07;65.5534;11 22;2
-0.749578 0.593693 1.031;56.2347;5 14;3
-0.746579 0.589438 1.16;20.0385;27 32;4
-0.704898 0.585441 1.007;19.2127;13 11;5
-0.705225 0.593978 1.011;62.6421;14 9;6
-0.69752 0.564384 1.006;28.4656;14 17;7
-0.694912 0.561722 1.008;7.59054;15 18;8
-0.730961 0.608601 1.026;1.78016;10 8;9
-0.679695 0.592086 1.015;77.7664;22 9;10
-0.671692 0.556352 1.01;39.592;22 19;11
-0.678745 0.554538 1.011;12.2608;20 20;12
-0.718255 0.628371 1.029;1.69342;15 2;13
-0.657095 0.587188 1.018;77.1659;29 10;14
-0.650992 0.552995 1.015;23.6984;29 20;15
-0.681444 0.610817 1.019;6.37226;23 4;16
-0.695525 0.615835 1.018;5.24353;19 3;17
-0.644844 0.586598 1.02;24.9159;33 10;18
-0.635457 0.554851 1.016;18.9467;34 19;19
-0.716673 0.615906 1.018;1.92996;13 4;20
0 0 0;0;0 0;0
