-0.75261 0.475291 1.205;271.988;30 70;0
-0.769804 0.569108 1.19;957.408;25 42;1
-0.802077 0.552677 1.177;172.885;14 46;2
-0.847182 0.595597 1.19;187.704;6 37;3
-0.862782 0.623275 1.189;21.3701;3 30;4
-0.749108 0.458504 1.207;3.11935;31 75;5
-0.827049 0.649379 1.191;109.562;13 22;6
-0.836749 0.675575 1.187;49.8954;11 15;7
-0.829397 0.692825 1.177;35.4181;12 9;8
-0.836399 0.709499 1.177;15.2398;11 5;9
-0.797059 0.650579 1.194;139.04;21 21;10
-0.795198 0.679576 1.184;76.8334;21 12;11
-0.794769 0.696154 1.179;42.0218;21 7;12
-0.787728 0.709808 1.17;21.0365;22 2;13
-0.764301 0.639675 1.187;100.081;28 22;14
-0.75885 0.668066 1.178;57.3942;29 13;15
-0.757544 0.683638 1.172;42.9152;29 8;16
-0.752593 0.69246 1.161;18.5219;29 4;17
-0.729275 0.622637 1.182;69.603;36 25;18
-0.729797 0.64303 1.179;40.3666;36 19;19
-0.723793 0.65722 1.172;32.6581;37 14;20
-0.71561 0.665935 1.162;22.0656;38 10;21
