-0.759225 0.489785 1.196;282.562;27 65;0
-0.774362 0.576694 1.19;878.519;24 40;1
-0.799351 0.550798 1.173;201.633;14 46;2
-0.850204 0.602124 1.187;176.343;5 35;3
-0.866746 0.636436 1.192;24.7689;3 27;4
-0.876027 0.652774 1.209;4.93314;4 25;5
-0.826919 0.652687 1.19;102.526;13 21;6
-0.82967 0.676018 1.182;55.9434;12 14;7
-0.83433 0.696945 1.184;35.8091;12 9;8
-0.827205 0.707487 1.176;17.0856;13 5;9
-0.797059 0.650579 1.194;120.442;21 21;10
-0.796541 0.680724 1.186;64.5288;21 12;11
-0.791297 0.69947 1.179;49.5841;22 6;12
-0.782988 0.708571 1.169;19.9422;23 2;13
-0.759772 0.638692 1.186;103.747;29 22;14
-0.754456 0.663798 1.178;58.3494;30 14;15
-0.754263 0.683695 1.173;48.5171;30 8;16
-0.74803 0.691313 1.16;25.8332;30 4;17
-0.728898 0.618995 1.182;59.8236;36 26;18
-0.72376 0.637317 1.176;46.7226;37 20;19
-0.717743 0.651422 1.169;33.1663;38 15;20
-0.719473 0.666223 1.169;19.8193;38 11;21
