-0.587711 0.466895 0.985;303.364;41 42;0
-0.65211 0.485707 0.981;503.466;20 37;1
-0.638531 0.525496 0.999;202.733;29 26;2
-0.674882 0.579224 1.01;60.4115;22 12;3
-0.692738 0.599511 1.006;44.7906;17 6;4
-0.702073 0.616779 1.011;7.56696;16 2;5
-0.703695 0.525027 0.987;67.0877;7 27;6
-0.718443 0.543222 0.995;11.3497;5 23;7
-0.71222 0.553677 0.999;3.69856;8 20;8
-0.735126 0.618531 1.024;1.5166;9 5;9
-0.698812 0.494089 0.981;64.3413;6 36;10
-0.684015 0.568049 1.011;11.1292;19 16;11
-0.684426 0.582859 1.008;11.4113;19 11;12
-0.697197 0.612139 1.01;11.8082;17 3;13
-0.695071 0.471047 0.985;42.0799;7 44;14
-0.715709 0.491521 0.992;1.60989;3 39;15
-inf -inf -inf;4.37442;17 14;16
-0.669661 0.608895 0.999;1.89969;23 1;17
-0.705688 0.463068 1.008;34.8522;8 50;18
-0.557642 0.455489 0.997;12.6006;53 47;19
-0.710992 0.549849 0.998;1.34918;8 21;20
-0.734154 0.555814 1.011;1.11296;4 22;21
