-0.744846 0.477929 1.204;264.349;32 69;0
-0.765345 0.568277 1.189;934.315;26 42;1
-0.79418 0.538542 1.179;222.453;16 50;2
-0.843831 0.58986 1.186;180.888;6 38;3
-0.861478 0.618922 1.188;25.0058;3 31;4
-0.741658 0.446699 1.214;2.45756;34 79;5
-0.827827 0.643922 1.187;107.537;12 23;6
-0.836003 0.672224 1.18;52.2809;10 15;7
-0.834356 0.684493 1.174;25.4004;10 11;8
-0.832824 0.696804 1.168;16.6836;10 7;9
-0.79322 0.644063 1.189;128.431;21 22;10
-0.797339 0.675128 1.182;58.0335;20 13;11
-0.798819 0.697162 1.172;42.2637;19 6;12
-0.791153 0.70684 1.163;20.315;20 2;13
-0.761725 0.637519 1.183;108.876;28 22;14
-0.760976 0.663649 1.176;53.3167;28 14;15
-0.766741 0.685882 1.174;45.6223;27 8;16
-0.764433 0.694161 1.161;23.4963;26 4;17
-0.730954 0.624555 1.178;69.5842;35 24;18
-0.726083 0.639758 1.173;40.7545;36 19;19
-0.726348 0.656534 1.17;34.6309;36 14;20
-0.720626 0.667534 1.164;23.0555;37 10;21
