-0.591031 0.568074 1.008;282.176;47 12;0
-0.656641 0.556225 1.007;730.942;26 18;1
-0.629861 0.518688 1.013;166.338;34 30;2
-0.663409 0.487573 1.026;102.059;25 43;3
-0.67947 0.467682 1.034;48.0659;21 51;4
-0.690263 0.45942 1.042;7.41111;19 55;5
-0.722996 0.52802 0.995;19.8851;3 28;6
-0.713154 0.51852 0.998;31.5824;6 31;7
-0.694205 0.517902 0.995;30.3037;11 30;8
-0.685992 0.528843 1.001;2.01652;15 27;9
-0.539699 0.581688 1.008;48.3512;64 6;10
-0.711433 0.535082 0.986;43.3697;5 24;11
-0.691832 0.538138 0.992;30.6996;12 23;12
-0.682488 0.545434 0.997;5.41392;16 21;13
-0.51223 0.579305 1.008;55.1164;73 6;14
-0.712737 0.556602 0.977;28.6312;4 16;15
-0.691719 0.555652 0.982;25.6791;11 16;16
-0.671771 0.594146 0.995;5.63425;21 5;17
-0.704931 0.588352 0.972;30.9801;7 5;18
-0.499508 0.566759 1.015;18.7759;78 11;19
-0.696286 0.57173 0.974;19.4764;9 10;20
-0.689599 0.584109 0.982;8.52921;13 7;21
