-0.588945 0.478341 0.991;334.996;42 39;0
-0.657428 0.489668 0.989;523.584;20 37;1
-0.64749 0.534368 0.996;205.481;26 23;2
-0.690291 0.577608 1.002;95.304;16 12;3
-0.707777 0.600391 0.996;44.4182;11 5;4
-inf -inf -inf;11.0655;9 1;5
-0.706935 0.519664 0.988;62.2533;6 29;6
-inf -inf -inf;8.1881;7 20;7
-0.713985 0.591558 1.003;3.87434;10 9;8
-0.717806 0.606871 0.999;3.19713;9 4;9
-0.702244 0.490887 0.987;61.1015;6 38;10
-0.700834 0.5718 1.021;5.90513;16 17;11
-0.604702 0.493096 0.911;7.63458;22 22;12
-0.705601 0.620234 1.01;0.944559;15 1;13
-0.697306 0.468836 0.994;47.4146;8 46;14
-0.569791 0.467434 0.996;5.81548;49 43;15
-0.589368 0.495444 0.92;4.73437;29 22;16
-0.669661 0.608895 0.999;1.89969;23 1;17
-0.697326 0.460343 1.011;27.0341;11 51;18
-0.560059 0.468525 1;10.5756;53 43;19
-0.641587 0.534151 0.997;3.78373;28 23;20
-0.72332 0.552001 1.006;1.27735;6 22;21
