-0.776467 0.488952 1.2;274.538;23 66;0
-0.782516 0.583626 1.196;892.433;23 39;1
-0.817848 0.566664 1.181;151.274;11 43;2
-0.858619 0.611511 1.198;187.18;5 34;3
-0.867442 0.642929 1.198;27.1224;4 26;4
-inf -inf -inf;6.05011;5 23;5
-0.833626 0.667608 1.204;101.875;14 19;6
-0.833784 0.688448 1.199;45.7785;14 13;7
-0.828615 0.704249 1.193;35.0781;15 8;8
-0.824299 0.717272 1.189;15.7264;16 4;9
-0.801525 0.660458 1.206;121.967;22 20;10
-0.799647 0.692695 1.202;62.3493;23 11;11
-0.795138 0.708936 1.197;46.8204;24 6;12
-0.788823 0.720045 1.19;18.4838;25 2;13
-0.765985 0.647296 1.195;103.572;29 21;14
-0.763273 0.67494 1.191;53.4206;30 13;15
-0.752174 0.687902 1.182;51.2622;32 8;16
-0.754918 0.703921 1.183;25.4263;32 4;17
-0.738243 0.624088 1.191;69.645;35 26;18
-0.725509 0.641794 1.185;42.3377;38 20;19
-0.720899 0.653979 1.181;27.7735;39 16;20
-0.717576 0.667303 1.179;19.7527;40 12;21
