-0.587341 0.553423 0.998;255.92;46 15;0
-0.649468 0.550149 0.996;731.689;26 18;1
-0.624394 0.503999 0.995;155.778;32 32;2
-0.656608 0.473564 1.001;115.279;22 44;3
-0.669841 0.452411 1.005;64.8895;18 52;4
-0.682586 0.44577 1.016;13.0657;16 56;5
-0.707886 0.519041 0.979;23.0464;4 28;6
-0.70538 0.516452 0.981;33.3709;5 29;7
-0.689395 0.517835 0.982;29.5616;10 28;8
-0.700939 0.596303 0.963;3.19634;7 1;9
-0.514736 0.564671 1.003;65.5699;71 10;10
-0.704514 0.535503 0.975;45.5833;5 22;11
-0.684626 0.535345 0.981;33.5921;12 22;12
-inf -inf -inf;0.655146;4 2;13
-0.493295 0.565675 1.008;59.5634;79 10;14
-0.703936 0.554733 0.969;40.997;5 15;15
-0.682455 0.553264 0.973;33.4957;12 15;16
-0.670503 0.558251 0.974;5.20043;16 13;17
-0.693173 0.591668 0.963;27.9289;9 2;18
-0.700725 0.576882 0.963;27.5166;6 7;19
-0.679001 0.57277 0.962;21.1046;12 7;20
-0.67467 0.581825 0.969;7.71931;15 5;21
