-0.794913 0.49502 1.223;269.251;22 67;0
-0.809487 0.596051 1.219;940.024;20 39;1
-0.846846 0.57169 1.213;119.619;9 46;2
-0.873506 0.6256 1.218;180.525;5 33;3
-0.883793 0.668245 1.224;37.2817;5 23;4
-0.898773 0.690335 1.242;8.44556;5 20;5
-0.866876 0.676639 1.222;55.3837;9 20;6
-0.862878 0.697349 1.217;42.6333;10 14;7
-0.864776 0.72296 1.22;43.1684;11 8;8
-0.86682 0.741883 1.225;20.0209;12 4;9
-0.837757 0.673021 1.223;74.3117;16 20;10
-0.837096 0.696954 1.216;58.2995;16 13;11
-0.840947 0.724736 1.215;51.0015;16 6;12
-0.837175 0.745184 1.217;26.6173;18 1;13
-0.809501 0.66703 1.218;58.0685;22 20;14
-0.81611 0.693968 1.216;45.1377;21 13;15
-0.816396 0.711616 1.212;48.0483;21 8;16
-0.820251 0.732465 1.213;22.5597;21 3;17
-0.788735 0.660687 1.218;40.4303;27 21;18
-0.790536 0.679492 1.217;24.4123;27 16;19
-0.794859 0.690621 1.215;22.298;26 13;20
-0.801743 0.707082 1.223;12.855;26 10;21
