-0.604665 0.567395 1.01;263.538;43 13;0
-0.662618 0.558853 1.011;758.517;25 18;1
-0.63475 0.515197 1.011;164.964;32 31;2
-0.661212 0.478935 1.013;103.704;23 44;3
-0.67062 0.456783 1.016;52.8153;20 52;4
-0.680685 0.448272 1.023;8.91582;18 56;5
-0.537535 0.588306 1.015;36.5045;66 5;6
-0.722582 0.518324 1.002;33.9123;4 32;7
-0.701136 0.520943 1;26.3255;10 30;8
-0.738694 0.601998 0.988;1.43655;1 5;9
-0.512499 0.579979 1.015;63.579;74 7;10
-0.719516 0.53615 0.993;42.957;4 25;11
-0.698312 0.538101 0.997;29.8963;11 24;12
-0.730494 0.597664 0.982;0.807721;2 5;13
-0.489067 0.581797 1.016;65.4289;82 6;14
-0.715818 0.556162 0.982;35.9827;4 17;15
-0.698922 0.556305 0.988;36.6335;10 17;16
-0.682894 0.568567 0.992;4.32075;16 13;17
-0.712183 0.594405 0.982;27.3226;7 5;18
-0.720061 0.576635 0.983;29.6607;4 11;19
-0.699722 0.577389 0.978;19.3874;9 9;20
-0.694664 0.58313 0.985;8.9024;12 8;21
