-0.742606 0.455163 1.104;351.98;15 65;0
-0.731569 0.514749 1.1;761.798;19 46;1
-0.705624 0.486293 1.125;97.0649;30 57;2
-0.678588 0.524708 1.127;82.503;39 45;3
-0.663347 0.541306 1.122;65.7408;43 39;4
-0.655569 0.552004 1.125;21.4514;46 36;5
-0.709742 0.575296 1.106;137.974;28 28;6
-0.711708 0.607713 1.109;51.8731;29 19;7
-0.711186 0.632035 1.109;33.5137;30 12;8
-0.722371 0.658274 1.116;15.7592;29 6;9
-0.74278 0.585446 1.105;159.061;19 26;10
-0.74678 0.62333 1.103;64.6973;19 15;11
-0.76452 0.655223 1.112;49.3176;17 8;12
-0.766867 0.676525 1.11;25.7634;17 2;13
-0.781209 0.586006 1.119;119.478;11 29;14
-0.780028 0.62021 1.109;49.606;11 18;15
-0.787725 0.648881 1.114;41.6708;11 11;16
-0.804783 0.673876 1.122;24.8533;9 6;17
-0.80498 0.582948 1.121;56.5389;5 31;18
-0.816139 0.608972 1.12;31.4844;3 24;19
-0.824759 0.629243 1.122;25.4655;2 19;20
-0.836991 0.651781 1.135;20.8678;2 15;21
