-0.677778 0.569637 1.023;78.9144;23 17;0
-0.702647 0.602615 1.016;66.4808;16 7;1
-0.726048 0.57432 1.033;25.5167;11 19;2
-0.754587 0.601284 1.031;50.9774;4 12;3
-0.746315 0.59946 1.03;39.0091;6 12;4
-0.720688 0.590712 1.02;23.9578;11 12;5
-0.712895 0.600901 1.016;83.8527;13 8;6
-0.712367 0.571083 1.023;28.2824;13 18;7
-0.714546 0.570477 1.021;6.08168;12 18;8
-0.680673 0.621066 1.033;1.97327;26 3;9
-0.683186 0.592591 1.015;114.549;21 9;10
-0.682451 0.562853 1.021;38.0867;21 19;11
-0.692396 0.560928 1.021;6.88386;18 20;12
-0.937237 0.774848 1.25;5.3658;1 2;13
-0.662908 0.592692 1.021;109.395;28 9;14
-0.665288 0.562655 1.032;27.7702;28 20;15
-0.887658 0.728221 1.249;10.7705;10 11;16
-0.707127 0.573016 1.072;0.722584;23 24;17
-0.647357 0.58862 1.03;47.6816;34 11;18
-0.648809 0.563964 1.032;17.693;33 19;19
-0.717644 0.624852 1.029;2.00835;15 3;20
-0.651593 0.587457 1.02;4.71483;31 10;21
