-0.587162 0.476893 0.988;341.247;42 39;0
-0.656098 0.488678 0.987;523.907;20 37;1
-0.64814 0.534905 0.997;209.452;26 23;2
-0.69098 0.578185 1.003;96.977;16 12;3
-0.707067 0.599789 0.995;43.6937;11 5;4
-inf -inf -inf;10.7009;9 1;5
-0.70765 0.52019 0.989;58.4273;6 29;6
-0.719516 0.53615 0.993;7.43553;4 25;7
-0.705713 0.540065 0.992;4.12035;8 23;8
-0.721558 0.604663 1;3.46125;8 5;9
-0.703667 0.491882 0.989;61.6588;6 38;10
-0.703579 0.57404 1.025;5.30675;16 17;11
-0.604702 0.493096 0.911;7.63458;22 22;12
-0.705601 0.620234 1.01;0.944559;15 1;13
-0.698007 0.469308 0.995;47.5042;8 46;14
-0.734853 0.505577 1.013;1.94527;2 38;15
-0.589368 0.495444 0.92;4.73437;29 22;16
-0.669661 0.608895 0.999;1.89969;23 1;17
-0.698706 0.461254 1.013;26.9233;11 51;18
-0.560059 0.468525 1;9.78091;53 43;19
-0.641587 0.534151 0.997;3.78373;28 23;20
-0.72332 0.552001 1.006;1.27735;6 22;21
