-0.76263 0.487074 1.16;231.218;20 62;0
-0.763653 0.544707 1.141;407.7;18 43;1
-0.824236 0.55977 1.18;74.5463;9 45;2
-0.84983 0.600865 1.193;127.814;6 36;3
-0.85743 0.632099 1.185;56.041;4 27;4
-0.864137 0.648208 1.185;23.7648;3 23;5
-0.817458 0.647186 1.189;34.3304;15 22;6
-0.821623 0.655965 1.174;42.3435;12 18;7
-0.844497 0.670156 1.181;28.0276;8 16;8
-0.86318 0.663793 1.186;14.6958;4 19;9
-0.801529 0.646616 1.176;31.2698;17 20;10
-inf -inf -inf;35.2768;15 14;11
-0.807576 0.684038 1.15;35.3852;13 7;12
-0.82853 0.699961 1.16;26.964;10 5;13
-0.762547 0.613291 1.138;57.101;20 23;14
-0.748241 0.630378 1.11;33.9851;20 14;15
-0.764046 0.657574 1.117;48.2964;18 8;16
-0.781274 0.683095 1.126;26.6091;16 3;17
-0.751367 0.587653 1.131;86.5663;21 29;18
-0.738841 0.614065 1.123;33.5363;24 20;19
-0.744535 0.634877 1.128;28.6302;24 15;20
-0.753977 0.650779 1.121;17.2526;21 10;21
