-0.679019 0.571144 1.019;88.851;22 16;0
-0.701955 0.602022 1.015;76.5001;16 7;1
-0.723236 0.572096 1.029;25.1427;11 19;2
-0.754587 0.601284 1.031;50.3237;4 12;3
-0.744983 0.595404 1.029;38.7801;6 13;4
-0.717302 0.585003 1.016;22.8594;11 13;5
-0.711491 0.599718 1.014;81.5834;13 8;6
-0.709079 0.565523 1.019;27.3533;13 19;7
-0.709582 0.56885 1.019;5.21947;13 18;8
-0.680673 0.621066 1.033;1.97327;26 3;9
-0.685338 0.591933 1.013;117.685;20 9;10
-0.683345 0.560676 1.023;39.1585;21 20;11
-0.685459 0.560023 1.021;6.77098;20 20;12
-0.937237 0.774848 1.25;5.3658;1 2;13
-0.66161 0.591531 1.019;110.848;28 9;14
-0.663111 0.563728 1.028;27.0724;28 19;15
-0.887658 0.728221 1.249;10.7705;10 11;16
-0.707127 0.573016 1.072;0.722584;23 24;17
-0.644843 0.586334 1.026;46.2323;34 11;18
-0.646923 0.562324 1.029;16.7782;33 19;19
-0.717644 0.624852 1.029;2.00835;15 3;20
-0.651593 0.587457 1.02;4.71483;31 10;21
