-0.787736 0.499436 1.217;281.374;23 65;0
-0.804839 0.592629 1.212;903.725;20 39;1
-0.836363 0.55555 1.212;113.388;11 50;2
-0.869852 0.620506 1.207;187.244;4 33;3
-0.87503 0.667778 1.217;31.171;6 22;4
-0.776698 0.468418 1.221;2.37985;26 74;5
-0.858457 0.666585 1.211;52.9948;9 21;6
-0.868011 0.695829 1.212;47.028;8 14;7
-0.869295 0.720842 1.214;44.8839;9 8;8
-0.872141 0.740357 1.22;22.9469;10 4;9
-0.833706 0.666982 1.211;62.1856;15 20;10
-0.839348 0.693042 1.207;56.0965;14 13;11
-0.837602 0.718853 1.204;50.1098;15 6;12
-0.838899 0.740484 1.207;25.5522;16 1;13
-0.812346 0.66369 1.21;50.0527;20 20;14
-0.813628 0.685465 1.207;46.9597;20 14;15
-0.815173 0.707534 1.204;48.858;20 8;16
-0.822455 0.731315 1.21;22.5904;20 3;17
-0.785776 0.651918 1.208;38.8384;26 22;18
-0.792099 0.674929 1.207;21.4618;25 16;19
-0.793027 0.686041 1.206;27.6503;25 13;20
-0.80076 0.700114 1.209;11.3538;24 10;21
