-0.794437 0.50493 1.221;271.94;22 64;0
-0.808159 0.595074 1.217;886.922;20 39;1
-0.835821 0.566545 1.203;122.868;10 46;2
-0.871914 0.62794 1.215;186.615;5 32;3
-0.885881 0.673361 1.226;36.2352;5 22;4
-0.791253 0.47104 1.226;2.56803;23 74;5
-0.86333 0.673871 1.217;54.5487;9 20;6
-0.865801 0.696872 1.215;45.1346;9 14;7
-0.868462 0.723084 1.219;42.739;10 8;8
-0.868413 0.740207 1.221;22.2215;11 4;9
-0.835702 0.67137 1.22;76.329;16 20;10
-0.841282 0.701025 1.215;59.4721;15 12;11
-0.83887 0.722947 1.212;51.9619;16 6;12
-0.837354 0.742219 1.211;25.7622;17 1;13
-0.810929 0.665358 1.214;57.2747;21 20;14
-0.812083 0.690543 1.21;45.1507;21 13;15
-0.817014 0.715639 1.212;46.1866;21 7;16
-0.820928 0.733069 1.214;21.7238;21 3;17
-0.788853 0.657907 1.212;41.2167;26 21;18
-0.792633 0.678327 1.214;23.1054;26 16;19
-0.792896 0.688916 1.212;25.3467;26 13;20
-0.802497 0.708158 1.217;12.3363;25 9;21
