-0.803085 0.500557 1.217;299.644;19 65;0
-0.810388 0.571219 1.212;512.689;18 45;1
-0.890868 0.590567 1.278;79.8188;9 49;2
-0.908167 0.628673 1.271;141.923;5 39;3
-0.917314 0.659037 1.265;65.432;3 31;4
-0.922735 0.677548 1.269;18.9715;3 27;5
-0.882229 0.681792 1.273;47.9105;13 25;6
-0.890335 0.686902 1.264;46.9346;10 23;7
-0.884117 0.732518 1.242;11.6551;10 9;8
-0.929087 0.69325 1.275;12.1353;3 24;9
-0.864121 0.683378 1.264;36.6042;16 23;10
-0.871253 0.71151 1.262;38.221;15 16;11
-0.872382 0.728731 1.238;36.705;12 9;12
-0.89675 0.757026 1.263;27.7924;11 6;13
-0.815708 0.649825 1.212;50.8885;19 24;14
-0.821245 0.686057 1.206;33.5692;18 14;15
-0.822271 0.704718 1.196;34.3254;17 8;16
-0.841639 0.735874 1.213;19.4938;16 3;17
-0.80567 0.63087 1.206;97.2825;20 28;18
-0.798202 0.65772 1.201;30.0858;22 20;19
-0.802239 0.675332 1.197;28.4727;21 15;20
-0.927891 0.657752 1.268;5.09316;1 32;21
